timestamp,config,model,n_ctx,n_batch,n_threads,n_threads_batch,n_gpu_layers,cache_type_k,cache_type_v,flash_attn,vram_used_gb,vram_total_gb,llama_ram_gb,sys_ram_used_gb,sys_ram_total_gb,prompt_tokens,prompt_tps,gen_tokens,gen_tps,client_tps,wall_s
2026-08-28 09:17:05,baseline,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.95,11.99,4.9,19.93,31.19,72,71.1,256,5.36,5.27,48.56
2026-08-28 09:17:54,baseline,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.95,11.99,4.9,19.93,31.19,72,67.2,256,5.3,5.2,49.26
2026-08-28 09:18:43,baseline,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.95,11.99,4.9,19.93,31.19,72,66.0,256,5.35,5.25,48.75
2026-08-28 09:24:35,v2-gpu-ctx32k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.81,11.99,3.87,18.8,31.19,72,98.7,256,10.28,10.02,25.55
2026-08-28 09:25:01,v2-gpu-ctx32k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.81,11.99,3.87,18.8,31.19,72,88.3,256,10.11,9.79,26.15
2026-08-28 09:25:28,v2-gpu-ctx32k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.81,11.99,3.87,18.8,31.19,72,91.4,256,9.92,9.66,26.5
2026-08-28 09:26:01,v3-gpu-ctx16k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,16384,,,,,,,,11.7,11.99,2.55,17.01,31.19,72,162.5,256,15.76,15.38,16.64
2026-08-28 09:26:18,v3-gpu-ctx16k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,16384,,,,,,,,11.7,11.99,2.55,17.01,31.19,72,160.1,256,15.01,14.63,17.49
2026-08-28 09:26:36,v3-gpu-ctx16k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,16384,,,,,,,,11.7,11.99,2.55,17.01,31.19,72,158.5,256,14.82,14.48,17.69
2026-08-28 09:27:43,v4-mtp4,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.11,11.99,4.87,19.33,31.19,72,76.3,256,5.7,5.61,45.65
2026-08-28 09:28:25,v4-mtp4,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.11,11.99,4.87,19.33,31.19,72,74.9,256,6.24,6.1,41.95
2026-08-28 09:29:08,v4-mtp4,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,10.11,11.99,4.87,19.33,31.19,72,78.8,256,5.96,5.85,43.74
2026-08-28 09:30:09,v5-ngram,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,9.06,11.99,4.83,19.3,31.19,72,73.0,256,7.4,7.22,35.47
2026-08-28 09:30:24,v5-ngram,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,9.06,11.99,4.83,19.3,31.19,72,66.1,256,17.88,16.55,15.47
2026-08-28 09:30:34,v5-ngram,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,32768,,,,,,,,9.06,11.99,4.83,19.3,31.19,72,69.0,256,28.56,25.36,10.1
2026-08-28 09:37:59,v5-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.03,11.99,4.86,19.6,31.19,72,77.9,256,7.98,7.79,32.88
2026-08-28 09:38:14,v5-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.03,11.99,4.86,19.6,31.19,72,83.7,256,19.47,18.09,14.15
2026-08-28 09:38:23,v5-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,10.03,11.99,4.86,19.6,31.19,72,77.8,256,29.1,26.04,9.83
2026-08-28 09:39:11,v3-gpu-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.7,11.99,4.14,18.56,31.19,72,98.9,256,9.08,8.88,28.84
2026-08-28 09:39:41,v3-gpu-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.7,11.99,4.14,18.56,31.19,72,98.4,256,8.72,8.51,30.1
2026-08-28 09:40:15,v3-gpu-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.7,11.99,4.14,18.56,31.19,72,93.2,256,7.82,7.67,33.39
2026-08-28 09:41:17,v6-combo-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.02,11.99,3.87,18.51,31.19,72,71.6,256,6.42,6.29,40.7
2026-08-28 09:41:57,v6-combo-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.02,11.99,3.87,18.51,31.19,72,70.2,256,6.54,6.37,40.17
2026-08-28 09:42:25,v6-combo-ngram-ctx77k,C:\LLM\Qwen3.8-27B-ASCII-Condensed-UD-IQ4_XS.gguf,77824,,,,,,,,11.02,11.99,3.87,18.51,31.19,72,66.1,256,9.54,9.16,27.94
